,Lat,Lon,SMS,SM1,SDS,SD1,,
1831,33.7131,-118.29129,1.529,0.878,1.02,0.585,,
1663,33.7103,-118.28896,1.53,0.878,1.02,0.586,,
1940,33.71614,-118.29369,1.53,0.878,1.02,0.585,,
1644,33.71029,-118.28871,1.531,0.879,1.021,0.586,,
1833,33.71352,-118.29131,1.531,0.879,1.021,0.586,,
2521,33.7243,-118.3019,1.531,0.878,1.02,0.585,,
1664,33.71085,-118.28897,1.532,0.88,1.022,0.587,,
1685,33.71125,-118.28929,1.532,0.88,1.021,0.586,,
9108,33.95754,-118.4402,1.532,0.938,1.021,0.626,,
1938,33.71669,-118.29365,1.533,0.879,1.022,0.586,,
1945,33.71679,-118.29376,1.533,0.879,1.022,0.586,,
2119,33.7209,-118.2974,1.533,0.879,1.022,0.586,,
1640,33.71086,-118.28869,1.534,0.881,1.023,0.587,,
1920,33.71651,-118.29326,1.534,0.88,1.023,0.587,,
1926,33.71666,-118.2934,1.534,0.88,1.022,0.587,,
9055,33.95719,-118.43952,1.534,0.937,1.023,0.625,,
9134,33.95745,-118.44038,1.534,0.938,1.023,0.625,,
9135,33.95745,-118.44038,1.534,0.938,1.023,0.625,,
1984,33.71851,-118.29468,1.535,0.881,1.024,0.587,,
2320,33.72363,-118.29959,1.535,0.881,1.023,0.587,,
1482,33.7085,-118.28651,1.536,0.883,1.024,0.588,,
1596,33.71082,-118.28829,1.536,0.882,1.024,0.588,,
1862,33.71582,-118.29221,1.536,0.882,1.024,0.588,,
2198,33.72272,-118.29845,1.536,0.882,1.024,0.588,,
8812,33.96031,-118.43602,1.536,0.943,1.024,0.628,,
2319,33.72403,-118.29959,1.537,0.882,1.025,0.588,,
8801,33.96019,-118.43578,1.537,0.942,1.025,0.628,,
8792,33.96013,-118.43559,1.538,0.942,1.025,0.628,,
9037,33.95654,-118.43941,1.538,0.936,1.026,0.624,,
8773,33.96005,-118.43528,1.539,0.942,1.026,0.628,,
1508,33.71029,-118.28706,1.54,0.885,1.027,0.59,,
1538,33.71106,-118.28758,1.54,0.885,1.027,0.59,,
8760,33.96005,-118.43511,1.54,0.942,1.027,0.628,,
9139,33.95664,-118.44043,1.54,0.937,1.026,0.624,,
1491,33.71046,-118.2867,1.542,0.887,1.028,0.591,,
1852,33.71678,-118.29182,1.542,0.886,1.028,0.591,,
8820,33.95746,-118.43614,1.542,0.937,1.028,0.625,,
1506,33.71096,-118.28695,1.543,0.887,1.029,0.592,,
1512,33.71124,-118.2871,1.543,0.888,1.029,0.592,,
2019,33.72095,-118.29526,1.543,0.886,1.029,0.591,,
8796,33.95765,-118.43566,1.543,0.937,1.029,0.625,,
8807,33.95759,-118.43588,1.543,0.937,1.029,0.625,,
8937,33.95631,-118.43784,1.543,0.935,1.028,0.624,,
9151,33.95639,-118.4407,1.543,0.936,1.029,0.624,,
2018,33.72128,-118.29526,1.544,0.887,1.03,0.592,,
8788,33.95772,-118.43549,1.544,0.937,1.029,0.625,,
8829,33.95671,-118.43632,1.544,0.936,1.029,0.624,,
8895,33.95624,-118.43734,1.544,0.935,1.029,0.623,,
8938,33.95596,-118.43784,1.544,0.935,1.029,0.623,,
1470,33.71071,-118.28633,1.545,0.889,1.03,0.593,,
1480,33.7109,-118.28649,1.545,0.889,1.03,0.593,,
1488,33.71112,-118.28666,1.545,0.889,1.03,0.593,,
1901,33.71895,-118.29302,1.545,0.888,1.03,0.592,,
8705,33.96006,-118.43412,1.545,0.942,1.03,0.628,,
8715,33.96006,-118.43428,1.545,0.942,1.03,0.628,,
8717,33.95944,-118.43433,1.545,0.94,1.03,0.627,,
8787,33.95713,-118.43548,1.545,0.936,1.03,0.624,,
8794,33.95705,-118.43565,1.545,0.936,1.03,0.624,,
8804,33.95696,-118.43584,1.545,0.936,1.03,0.624,,
8958,33.95575,-118.43821,1.545,0.934,1.03,0.623,,
9030,33.95542,-118.4393,1.545,0.934,1.03,0.623,,
9155,33.95631,-118.44089,1.545,0.936,1.03,0.624,,
9177,33.95681,-118.44139,1.545,0.937,1.03,0.625,,
1900,33.71908,-118.29301,1.546,0.888,1.03,0.592,,
8706,33.95944,-118.43412,1.546,0.94,1.031,0.627,,
8790,33.95663,-118.43554,1.546,0.935,1.031,0.624,,
8831,33.95618,-118.43638,1.546,0.935,1.031,0.623,,
8920,33.95559,-118.43764,1.546,0.934,1.031,0.623,,
1902,33.71938,-118.29303,1.547,0.889,1.031,0.593,,
1903,33.71951,-118.29304,1.547,0.889,1.031,0.593,,
8698,33.95944,-118.43395,1.547,0.94,1.031,0.627,,
8766,33.9568,-118.4352,1.547,0.936,1.031,0.624,,
8767,33.95642,-118.43522,1.547,0.935,1.032,0.623,,
9062,33.95503,-118.43957,1.547,0.933,1.031,0.622,,
9193,33.95676,-118.44163,1.547,0.937,1.032,0.625,,
1837,33.7177,-118.2914,1.548,0.89,1.032,0.593,,
8681,33.95945,-118.43366,1.548,0.94,1.032,0.627,,
8691,33.95944,-118.43379,1.548,0.94,1.032,0.627,,
8692,33.95889,-118.43381,1.548,0.939,1.032,0.626,,
8756,33.95621,-118.43505,1.548,0.934,1.032,0.623,,
9165,33.95618,-118.44123,1.548,0.936,1.032,0.624,,
8670,33.95944,-118.43349,1.549,0.94,1.033,0.627,,
8748,33.95593,-118.43491,1.549,0.934,1.033,0.622,,
9203,33.95676,-118.44178,1.549,0.937,1.032,0.625,,
1944,33.72088,-118.29375,1.55,0.891,1.033,0.594,,
8660,33.95983,-118.43326,1.55,0.941,1.033,0.627,,
8662,33.95944,-118.43329,1.55,0.94,1.033,0.627,,
8697,33.95612,-118.43391,1.55,0.934,1.034,0.623,,
8702,33.95575,-118.43409,1.55,0.933,1.034,0.622,,
8716,33.95574,-118.43431,1.55,0.933,1.033,0.622,,
8743,33.95556,-118.43483,1.55,0.933,1.033,0.622,,
9179,33.95613,-118.44142,1.55,0.936,1.033,0.624,,
8644,33.95945,-118.43299,1.551,0.94,1.034,0.627,,
8650,33.95886,-118.43308,1.551,0.939,1.034,0.626,,
8652,33.95944,-118.43313,1.551,0.94,1.034,0.627,,
8658,33.95623,-118.43323,1.551,0.934,1.034,0.623,,
8669,33.95552,-118.43346,1.551,0.933,1.034,0.622,,
8683,33.95587,-118.4337,1.551,0.933,1.034,0.622,,
8684,33.95549,-118.43372,1.551,0.933,1.034,0.622,,
8707,33.95535,-118.43412,1.551,0.932,1.034,0.622,,
8713,33.95525,-118.43423,1.551,0.932,1.034,0.621,,
8724,33.95519,-118.43445,1.551,0.932,1.034,0.621,,
8730,33.95509,-118.43458,1.551,0.932,1.034,0.621,,
8627,33.95611,-118.43267,1.552,0.933,1.035,0.622,,
8635,33.95559,-118.43286,1.552,0.933,1.035,0.622,,
8636,33.95902,-118.43287,1.552,0.939,1.035,0.626,,
8637,33.95604,-118.4329,1.552,0.933,1.035,0.622,,
8654,33.95556,-118.43316,1.552,0.933,1.034,0.622,,
9025,33.95417,-118.43923,1.552,0.931,1.035,0.621,,
2013,33.72311,-118.29518,1.553,0.893,1.035,0.595,,
2313,33.72766,-118.29957,1.553,0.893,1.035,0.595,,
8596,33.9559,-118.43212,1.553,0.933,1.035,0.622,,
8608,33.95637,-118.43236,1.553,0.934,1.035,0.623,,
8619,33.95623,-118.43248,1.553,0.934,1.035,0.622,,
8626,33.95969,-118.43264,1.553,0.94,1.035,0.627,,
9038,33.95409,-118.43941,1.553,0.931,1.035,0.621,,
9367,33.96073,-118.4457,1.553,0.946,1.036,0.631,,
1846,33.71967,-118.29167,1.554,0.894,1.036,0.596,,
1942,33.72182,-118.2937,1.554,0.894,1.036,0.596,,
8583,33.95625,-118.43194,1.554,0.934,1.036,0.622,,
8584,33.95609,-118.43199,1.554,0.933,1.036,0.622,,
8615,33.96003,-118.43244,1.554,0.941,1.036,0.627,,
9085,33.95392,-118.43976,1.554,0.931,1.036,0.621,,
9100,33.95394,-118.44003,1.554,0.931,1.036,0.621,,
8605,33.96003,-118.43227,1.555,0.941,1.037,0.627,,
9373,33.9606,-118.4459,1.555,0.946,1.037,0.631,,
1834,33.71995,-118.29133,1.557,0.896,1.038,0.597,,
1899,33.7218,-118.29298,1.557,0.896,1.038,0.597,,
9119,33.95366,-118.44029,1.557,0.931,1.038,0.62,,
9378,33.96046,-118.44608,1.557,0.946,1.038,0.63,,
2122,33.72671,-118.29741,1.558,0.897,1.039,0.598,,
3069,33.73583,-118.30946,1.558,0.897,1.038,0.598,,
1850,33.72087,-118.2918,1.559,0.897,1.039,0.598,,
1923,33.72269,-118.29328,1.559,0.898,1.04,0.598,,
3048,33.73591,-118.30902,1.559,0.898,1.04,0.599,,
9229,33.95558,-118.44223,1.559,0.935,1.04,0.623,,
9231,33.9557,-118.44231,1.559,0.935,1.04,0.624,,
1842,33.72108,-118.29164,1.56,0.898,1.04,0.599,,
1898,33.72244,-118.29297,1.56,0.898,1.04,0.599,,
8528,33.96004,-118.43125,1.56,0.941,1.04,0.627,,
9393,33.96043,-118.44653,1.56,0.946,1.04,0.63,,
1841,33.72152,-118.29163,1.562,0.9,1.041,0.6,,
1821,33.72123,-118.29117,1.563,0.9,1.042,0.6,,
1832,33.72134,-118.2913,1.563,0.9,1.042,0.6,,
9425,33.96033,-118.4471,1.564,0.946,1.043,0.63,,
1839,33.72219,-118.29149,1.565,0.902,1.044,0.601,,
2468,33.73152,-118.30127,1.565,0.901,1.043,0.601,,
2484,33.73171,-118.3015,1.565,0.901,1.043,0.601,,
2984,33.73645,-118.30801,1.565,0.902,1.043,0.601,,
2933,33.73628,-118.30741,1.566,0.902,1.044,0.602,,
2325,33.7309,-118.29964,1.567,0.903,1.045,0.602,,
2545,33.73292,-118.30219,1.568,0.903,1.045,0.602,,
1884,33.72447,-118.29275,1.569,0.904,1.046,0.603,,
2452,33.73223,-118.30098,1.569,0.904,1.046,0.603,,
2584,33.73354,-118.30285,1.569,0.904,1.046,0.603,,
2829,33.73593,-118.3059,1.569,0.905,1.046,0.603,,
2893,33.7364,-118.30683,1.569,0.904,1.046,0.603,,
2914,33.73674,-118.30708,1.569,0.904,1.046,0.603,,
1883,33.72465,-118.29275,1.57,0.905,1.046,0.603,,
1882,33.72502,-118.29275,1.571,0.906,1.047,0.604,,
2290,33.73138,-118.29931,1.571,0.905,1.047,0.603,,
2351,33.73217,-118.30007,1.571,0.906,1.048,0.604,,
2599,33.73406,-118.30295,1.571,0.905,1.047,0.604,,
2789,33.73584,-118.30536,1.571,0.906,1.047,0.604,,
1674,33.7213,-118.28916,1.572,0.907,1.048,0.604,,
2012,33.72764,-118.29516,1.572,0.906,1.048,0.604,,
1590,33.72042,-118.28827,1.573,0.907,1.049,0.605,,
1672,33.72147,-118.28913,1.573,0.907,1.049,0.605,,
1677,33.72162,-118.28919,1.573,0.907,1.049,0.605,,
2396,33.73272,-118.30044,1.573,0.906,1.048,0.604,,
1681,33.72175,-118.28925,1.574,0.908,1.049,0.605,,
1703,33.72215,-118.28942,1.574,0.908,1.05,0.605,,
1814,33.724,-118.29108,1.574,0.908,1.05,0.605,,
2324,33.73272,-118.29963,1.575,0.908,1.05,0.606,,
1798,33.724,-118.29077,1.576,0.909,1.05,0.606,,
2694,33.73636,-118.30438,1.576,0.909,1.051,0.606,,
2753,33.73673,-118.30487,1.576,0.909,1.051,0.606,,
2783,33.73685,-118.30523,1.576,0.909,1.05,0.606,,
1714,33.72308,-118.28962,1.577,0.91,1.051,0.607,,
2188,33.7318,-118.29832,1.577,0.909,1.051,0.606,,
2337,33.73338,-118.2999,1.577,0.91,1.052,0.606,,
2404,33.73367,-118.30051,1.577,0.909,1.051,0.606,,
2788,33.73725,-118.30535,1.577,0.91,1.051,0.606,,
9520,33.96134,-118.44966,1.577,0.948,1.052,0.632,,
1815,33.72491,-118.29109,1.578,0.91,1.052,0.607,,
2516,33.735,-118.30185,1.578,0.91,1.052,0.607,,
9499,33.96112,-118.44952,1.578,0.948,1.052,0.632,,
2331,33.73367,-118.2997,1.579,0.911,1.053,0.607,,
2803,33.73782,-118.30556,1.579,0.911,1.052,0.607,,
2604,33.73629,-118.303,1.58,0.912,1.054,0.608,,
2721,33.73727,-118.30454,1.58,0.911,1.053,0.608,,
1796,33.72542,-118.29076,1.581,0.913,1.054,0.608,,
2107,33.73168,-118.29709,1.581,0.912,1.054,0.608,,
2680,33.73726,-118.30421,1.581,0.912,1.054,0.608,,
1662,33.7236,-118.28896,1.582,0.913,1.055,0.609,,
2207,33.73319,-118.29858,1.582,0.913,1.054,0.608,,
2679,33.73762,-118.3042,1.582,0.913,1.055,0.609,,
2483,33.7359,-118.3015,1.583,0.914,1.056,0.609,,
9559,33.96068,-118.45005,1.583,0.947,1.056,0.631,,
2288,33.73435,-118.2993,1.584,0.914,1.056,0.609,,
2596,33.7372,-118.30294,1.584,0.915,1.056,0.61,,
2597,33.73706,-118.30294,1.584,0.914,1.056,0.609,,
2648,33.73759,-118.30369,1.584,0.914,1.056,0.609,,
9512,33.95996,-118.44961,1.584,0.946,1.056,0.63,,
2187,33.73362,-118.29831,1.585,0.915,1.056,0.61,,
2552,33.73706,-118.30227,1.586,0.916,1.057,0.61,,
2594,33.73759,-118.30294,1.586,0.916,1.057,0.61,,
2595,33.73747,-118.30294,1.586,0.915,1.057,0.61,,
1897,33.72905,-118.29295,1.587,0.916,1.058,0.611,,
2106,33.73296,-118.29708,1.587,0.916,1.058,0.611,,
2551,33.73734,-118.30227,1.587,0.916,1.058,0.611,,
2576,33.7377,-118.30271,1.587,0.917,1.058,0.611,,
9485,33.95906,-118.44923,1.587,0.944,1.058,0.629,,
1639,33.7249,-118.28869,1.588,0.917,1.059,0.612,,
2174,33.73427,-118.29813,1.588,0.917,1.059,0.611,,
2440,33.73653,-118.30083,1.588,0.917,1.059,0.611,,
9517,33.95936,-118.44964,1.588,0.944,1.059,0.63,,
2286,33.73553,-118.29928,1.589,0.918,1.059,0.612,,
2380,33.73624,-118.30024,1.589,0.917,1.059,0.612,,
2390,33.73632,-118.30035,1.589,0.917,1.059,0.612,,
2402,33.73637,-118.3005,1.589,0.917,1.059,0.612,,
1628,33.72517,-118.28862,1.59,0.918,1.06,0.612,,
2219,33.73533,-118.29867,1.591,0.919,1.06,0.612,,
1896,33.73035,-118.29294,1.592,0.92,1.061,0.613,,
1905,33.73035,-118.29307,1.592,0.919,1.061,0.613,,
2439,33.73744,-118.30083,1.592,0.92,1.062,0.613,,
2693,33.84593,-118.30437,1.592,0.888,1.061,0.592,,
1545,33.72491,-118.28766,1.593,0.92,1.062,0.614,,
2135,33.73489,-118.29756,1.593,0.92,1.062,0.613,,
2231,33.73581,-118.29872,1.593,0.92,1.062,0.613,,
2323,33.7367,-118.29963,1.593,0.92,1.062,0.613,,
3032,33.84496,-118.30863,1.593,0.891,1.062,0.594,,
3044,33.8453,-118.30886,1.593,0.89,1.062,0.593,,
3060,33.744,-118.30932,1.593,0.92,1.062,0.613,,
3065,33.74415,-118.30933,1.593,0.921,1.062,0.614,,
12037,34.1988,-118.60483,1.593,0.901,1.062,0.601,,
3064,33.7443,-118.30933,1.594,0.921,1.063,0.614,,
10162,33.96798,-118.45771,1.594,0.971,1.063,0.647,,
1849,33.72995,-118.29179,1.595,0.922,1.063,0.615,,
2719,33.84456,-118.3045,1.595,0.891,1.063,0.594,,
2963,33.84408,-118.30778,1.595,0.892,1.063,0.595,,
2982,33.84417,-118.30796,1.595,0.892,1.063,0.595,,
2987,33.84408,-118.30811,1.595,0.892,1.063,0.595,,
3023,33.84409,-118.30844,1.595,0.892,1.063,0.595,,
3029,33.84408,-118.3086,1.595,0.892,1.063,0.595,,
3063,33.74449,-118.30933,1.595,0.921,1.063,0.614,,
1479,33.7245,-118.28646,1.596,0.923,1.064,0.615,,
2121,33.73543,-118.29741,1.596,0.922,1.064,0.615,,
2178,33.7361,-118.29818,1.596,0.922,1.064,0.615,,
2213,33.73653,-118.29863,1.596,0.922,1.064,0.615,,
2287,33.73715,-118.2993,1.596,0.922,1.064,0.615,,
2935,33.84354,-118.30744,1.596,0.893,1.064,0.595,,
2995,33.84383,-118.30818,1.596,0.893,1.064,0.595,,
3054,33.74482,-118.30929,1.596,0.922,1.064,0.615,,
12038,34.1986,-118.60485,1.596,0.901,1.064,0.601,,
2009,33.7336,-118.29511,1.597,0.923,1.065,0.615,,
2120,33.73577,-118.29741,1.597,0.923,1.065,0.615,,
2759,33.84353,-118.30493,1.597,0.893,1.064,0.595,,
2084,33.73518,-118.29656,1.598,0.924,1.065,0.616,,
2105,33.73569,-118.29707,1.598,0.924,1.066,0.616,,
2778,33.84261,-118.30516,1.598,0.895,1.066,0.596,,
2800,33.8426,-118.30549,1.598,0.895,1.066,0.596,,
2812,33.8426,-118.30565,1.598,0.895,1.066,0.597,,
3059,33.74519,-118.30932,1.598,0.923,1.065,0.616,,
10244,33.97105,-118.45889,1.598,0.978,1.066,0.652,,
11954,34.19906,-118.60132,1.598,0.901,1.065,0.601,,
1792,33.72995,-118.29074,1.599,0.925,1.066,0.616,,
2248,33.86296,-118.29884,1.599,0.888,1.066,0.592,,
3045,33.8423,-118.30887,1.599,0.896,1.066,0.597,,
9762,33.96153,-118.45269,1.599,0.952,1.066,0.635,,
2212,33.73743,-118.29863,1.6,0.925,1.067,0.617,,
2253,33.86353,-118.29889,1.6,0.888,1.067,0.592,,
3046,33.84202,-118.30887,1.6,0.896,1.066,0.598,,
9816,33.96199,-118.45329,1.6,0.954,1.067,0.636,,
12028,34.19835,-118.60441,1.6,0.901,1.067,0.601,,
2011,33.73451,-118.29513,1.601,0.925,1.067,0.617,,
2794,33.84127,-118.30544,1.601,0.897,1.067,0.598,,
2815,33.84109,-118.30569,1.601,0.898,1.068,0.598,,
2698,33.84091,-118.30441,1.602,0.898,1.068,0.598,,
1624,33.72853,-118.28855,1.603,0.927,1.069,0.618,,
2773,33.84047,-118.30504,1.603,0.899,1.068,0.599,,
2872,33.84054,-118.30647,1.603,0.899,1.068,0.599,,
2890,33.84037,-118.30675,1.603,0.899,1.069,0.599,,
3003,33.84057,-118.30823,1.603,0.899,1.068,0.599,,
3058,33.74633,-118.3093,1.603,0.927,1.068,0.618,,
11931,34.19899,-118.59933,1.603,0.901,1.069,0.601,,
11937,34.19891,-118.59992,1.603,0.901,1.069,0.601,,
1631,33.72906,-118.28866,1.604,0.928,1.07,0.619,,
2010,33.73541,-118.29512,1.604,0.928,1.07,0.619,,
10259,33.97135,-118.45931,1.604,0.979,1.069,0.653,,
12036,34.19798,-118.60475,1.604,0.901,1.069,0.601,,
1708,33.72996,-118.28948,1.605,0.928,1.07,0.619,,
1840,33.73215,-118.2915,1.605,0.928,1.07,0.619,,
11945,34.19864,-118.60062,1.605,0.902,1.07,0.601,,
12027,34.19794,-118.60437,1.605,0.902,1.07,0.601,,
1895,33.73398,-118.29293,1.607,0.93,1.071,0.62,,
10290,33.97143,-118.45991,1.608,0.98,1.072,0.653,,
12021,34.20248,-118.60396,1.608,0.9,1.072,0.6,,
1960,33.73579,-118.29431,1.609,0.931,1.073,0.621,,
3038,33.83679,-118.30869,1.611,0.907,1.074,0.604,,
3041,33.83642,-118.30872,1.611,0.907,1.074,0.605,,
1657,33.73125,-118.28891,1.612,0.933,1.075,0.622,,
3040,33.83618,-118.30871,1.612,0.908,1.075,0.605,,
11926,34.20182,-118.59872,1.612,0.9,1.075,0.6,,
10281,33.97211,-118.45971,1.613,0.981,1.076,0.654,,
11939,34.20215,-118.59993,1.613,0.9,1.075,0.6,,
1650,33.73177,-118.28881,1.614,0.935,1.076,0.623,,
1684,33.73215,-118.28927,1.614,0.934,1.076,0.623,,
1838,33.7345,-118.29149,1.614,0.935,1.076,0.623,,
1711,33.73267,-118.28958,1.615,0.935,1.076,0.623,,
1851,33.73487,-118.29182,1.615,0.935,1.076,0.623,,
11922,34.19823,-118.59866,1.615,0.903,1.077,0.602,,
11927,34.20212,-118.59873,1.615,0.9,1.077,0.6,,
11986,34.19737,-118.60283,1.616,0.902,1.078,0.602,,
11987,34.19737,-118.60283,1.616,0.902,1.078,0.602,,
11988,34.19737,-118.60283,1.616,0.902,1.078,0.602,,
11989,34.19737,-118.60283,1.616,0.902,1.078,0.602,,
11990,34.19737,-118.60283,1.616,0.902,1.078,0.602,,
11991,34.19737,-118.60283,1.616,0.902,1.078,0.602,,
11992,34.19737,-118.60283,1.616,0.902,1.078,0.602,,
11993,34.19737,-118.60283,1.616,0.902,1.078,0.602,,
11994,34.19737,-118.60283,1.616,0.902,1.078,0.602,,
11995,34.19737,-118.60283,1.616,0.902,1.078,0.602,,
11996,34.19737,-118.60287,1.616,0.902,1.077,0.602,,
11997,34.19737,-118.60287,1.616,0.902,1.077,0.602,,
11998,34.19737,-118.60287,1.616,0.902,1.077,0.602,,
11999,34.19737,-118.60287,1.616,0.902,1.077,0.602,,
12000,34.19737,-118.60287,1.616,0.902,1.077,0.602,,
12001,34.19737,-118.60287,1.616,0.902,1.077,0.602,,
1786,33.73453,-118.29067,1.618,0.937,1.078,0.625,,
1812,33.73487,-118.291,1.618,0.937,1.079,0.625,,
11938,34.19782,-118.59992,1.618,0.903,1.079,0.602,,
1961,33.73813,-118.29435,1.619,0.937,1.079,0.625,,
2433,33.83114,-118.30077,1.619,0.914,1.079,0.609,,
2455,33.83114,-118.3011,1.619,0.914,1.079,0.609,,
2467,33.83114,-118.30126,1.619,0.914,1.079,0.609,,
2472,33.83152,-118.30135,1.619,0.913,1.079,0.609,,
2766,33.83196,-118.305,1.619,0.914,1.079,0.61,,
2519,33.83095,-118.30187,1.62,0.915,1.08,0.61,,
2580,33.83113,-118.30278,1.62,0.915,1.08,0.61,,
2593,33.83113,-118.30294,1.62,0.915,1.08,0.61,,
2611,33.83119,-118.30312,1.62,0.915,1.08,0.61,,
10319,33.97224,-118.46055,1.62,0.982,1.08,0.655,,
2052,33.73996,-118.29591,1.621,0.939,1.08,0.626,,
2722,33.83114,-118.30457,1.621,0.916,1.08,0.61,,
1773,33.73528,-118.29042,1.622,0.939,1.081,0.626,,
1917,33.73788,-118.29324,1.622,0.939,1.081,0.626,,
1794,33.87787,-118.29075,1.623,0.9,1.082,0.6,,
1795,33.87774,-118.29076,1.623,0.9,1.082,0.6,,
1800,33.87829,-118.29078,1.623,0.9,1.082,0.6,,
1801,33.87817,-118.29078,1.623,0.9,1.082,0.6,,
2934,33.83053,-118.30743,1.623,0.918,1.082,0.612,,
2951,33.83051,-118.30761,1.623,0.918,1.082,0.612,,
2964,33.83052,-118.30778,1.623,0.918,1.082,0.612,,
3042,33.83057,-118.30878,1.623,0.919,1.082,0.612,,
3008,33.82992,-118.30825,1.624,0.92,1.083,0.613,,
1395,33.73083,-118.28531,1.625,0.942,1.083,0.628,,
2894,33.82944,-118.30684,1.625,0.92,1.083,0.613,,
2908,33.82944,-118.30701,1.625,0.92,1.083,0.613,,
3006,33.82942,-118.30824,1.625,0.92,1.084,0.614,,
3037,33.82997,-118.30868,1.625,0.92,1.083,0.613,,
1725,33.88007,-118.28977,1.626,0.902,1.084,0.601,,
1745,33.88007,-118.28995,1.626,0.902,1.084,0.601,,
1771,33.88092,-118.29034,1.626,0.902,1.084,0.601,,
1781,33.88095,-118.29052,1.626,0.902,1.084,0.601,,
2891,33.82867,-118.3068,1.626,0.921,1.084,0.614,,
2952,33.82877,-118.30764,1.626,0.921,1.084,0.614,,
3028,33.82942,-118.30857,1.626,0.921,1.084,0.614,,
10343,33.96653,-118.46108,1.626,0.972,1.084,0.648,,
11878,34.20207,-118.59313,1.626,0.9,1.084,0.6,,
1735,33.88097,-118.28982,1.627,0.902,1.085,0.601,,
1737,33.88136,-118.28983,1.627,0.902,1.085,0.602,,
1751,33.88097,-118.28999,1.627,0.902,1.085,0.601,,
3026,33.8288,-118.30856,1.627,0.922,1.085,0.615,,
1680,33.88167,-118.28925,1.628,0.903,1.086,0.602,,
11851,34.20189,-118.5903,1.629,0.9,1.086,0.6,,
1785,33.88471,-118.29065,1.63,0.903,1.087,0.602,,
1799,33.88499,-118.29078,1.63,0.903,1.087,0.602,,
11886,34.20257,-118.59388,1.63,0.9,1.087,0.6,,
1478,33.88156,-118.28646,1.631,0.904,1.088,0.603,,
1813,33.73814,-118.29104,1.631,0.945,1.087,0.63,,
1820,33.88696,-118.29116,1.631,0.904,1.088,0.603,,
11819,34.20147,-118.58681,1.631,0.9,1.088,0.6,,
11854,34.20203,-118.59037,1.631,0.9,1.087,0.6,,
11883,34.20257,-118.59327,1.631,0.9,1.088,0.6,,
1819,33.88722,-118.29115,1.632,0.904,1.088,0.603,,
1255,33.73032,-118.28275,1.633,0.947,1.089,0.631,,
1829,33.88827,-118.29123,1.633,0.905,1.088,0.603,,
2185,33.74487,-118.29827,1.633,0.947,1.089,0.631,,
2536,33.82367,-118.30211,1.633,0.927,1.088,0.618,,
11860,34.20229,-118.59061,1.633,0.9,1.089,0.6,,
2173,33.74487,-118.29813,1.634,0.947,1.089,0.632,,
2321,33.82189,-118.2996,1.634,0.929,1.089,0.619,,
2336,33.82184,-118.29987,1.634,0.929,1.089,0.619,,
2560,33.8232,-118.30236,1.634,0.928,1.089,0.619,,
2616,33.82304,-118.30318,1.634,0.929,1.09,0.619,,
1243,33.73084,-118.28256,1.635,0.949,1.09,0.633,,
2453,33.82187,-118.30099,1.635,0.929,1.09,0.62,,
2572,33.82255,-118.30251,1.635,0.929,1.09,0.62,,
11804,34.20113,-118.58309,1.635,0.9,1.09,0.6,,
