,Lat,Lon,SMS,SM1,SDS,SD1,
58,34.08971,-118.17519,2.775,1.439,1.85,0.959,1.3875
59,34.08801,-118.17539,2.764,1.436,1.842,0.958,1.3815
60,34.08629,-118.1754,2.752,1.43,1.835,0.954,1.37625
61,34.08603,-118.17541,2.75,1.429,1.833,0.953,1.37475
62,34.08009,-118.17596,2.71,1.409,1.806,0.939,1.3545
63,34.08722,-118.176,2.759,1.434,1.839,0.956,1.37925
64,34.08722,-118.176,2.759,1.434,1.839,0.956,1.37925
65,34.11803,-118.1761,2.816,1.493,1.878,0.995,1.4085
66,34.11854,-118.17612,2.816,1.493,1.877,0.995,1.40775
67,34.11819,-118.17633,2.816,1.493,1.877,0.995,1.40775
68,34.08471,-118.17633,2.741,1.425,1.828,0.95,1.371
69,34.11619,-118.1766,2.818,1.492,1.879,0.994,1.40925
70,34.11351,-118.17694,2.821,1.478,1.881,0.985,1.41075
71,34.11966,-118.17712,2.814,1.495,1.876,0.996,1.407
72,34.11985,-118.17727,2.814,1.495,1.876,0.997,1.407
73,34.11701,-118.17732,2.817,1.493,1.878,0.995,1.4085
74,34.11917,-118.1774,2.815,1.495,1.876,0.996,1.407
75,34.11554,-118.17779,2.819,1.492,1.879,0.995,1.40925
76,34.11804,-118.17781,2.816,1.494,1.877,0.996,1.40775
77,34.11449,-118.17816,2.82,1.491,1.88,0.994,1.41
78,34.11415,-118.17818,2.821,1.491,1.88,0.994,1.41
79,34.11405,-118.17836,2.821,1.489,1.88,0.993,1.41
80,34.11369,-118.17837,2.821,1.481,1.881,0.988,1.41075
81,34.11523,-118.17856,2.819,1.492,1.879,0.995,1.40925
82,34.09738,-118.17867,2.83,1.394,1.887,0.929,1.41525
83,34.10932,-118.17894,2.829,1.398,1.886,0.932,1.4145
84,34.089,-118.17899,2.772,1.441,1.848,0.961,1.386
85,34.11207,-118.17917,2.823,1.445,1.882,0.963,1.4115
86,34.11367,-118.17937,2.821,1.481,1.881,0.987,1.41075
87,34.07554,-118.17972,2.678,1.393,1.786,0.929,1.3395
88,34.11249,-118.17973,2.823,1.454,1.882,0.969,1.4115
89,34.10946,-118.17987,2.829,1.397,1.886,0.932,1.4145
90,34.11868,-118.18007,2.814,1.496,1.876,0.997,1.407
91,34.08814,-118.18015,2.767,1.438,1.844,0.959,1.383
92,34.07506,-118.18022,2.675,1.392,1.783,0.928,1.33725
93,34.11255,-118.18028,2.823,1.455,1.882,0.97,1.4115
94,34.0889,-118.1809,2.772,1.441,1.848,0.961,1.386
95,34.08121,-118.181,2.718,1.414,1.812,0.943,1.359
96,34.08853,-118.18149,2.77,1.44,1.847,0.96,1.38525
97,34.14091,-118.18159,2.751,1.515,1.834,1.01,1.3755
98,34.11365,-118.18225,2.82,1.478,1.88,0.985,1.41
99,34.11285,-118.18323,2.822,1.459,1.881,0.973,1.41075
100,34.10672,-118.18389,2.842,1.39,1.895,0.927,1.42125
101,34.1224,-118.18479,2.782,1.502,1.854,1.002,1.3905
102,34.12174,-118.1849,2.788,1.502,1.859,1.001,1.39425
103,34.10514,-118.18506,2.85,1.388,1.9,0.925,1.425
104,34.12485,-118.18566,2.757,1.505,1.838,1.003,1.3785
105,34.12544,-118.18631,2.751,1.506,1.834,1.004,1.3755
106,34.12504,-118.18657,2.755,1.506,1.836,1.004,1.377
107,34.1028,-118.18666,2.859,1.384,1.906,0.923,1.4295
108,34.12671,-118.18678,2.738,1.507,1.826,1.005,1.3695
109,34.10835,-118.18714,2.836,1.391,1.891,0.928,1.41825
110,34.1187,-118.18723,2.805,1.501,1.87,1.001,1.4025
111,34.11873,-118.18739,2.805,1.501,1.87,1.001,1.4025
112,34.12481,-118.18753,2.756,1.506,1.837,1.004,1.37775
113,34.11876,-118.18755,2.805,1.501,1.87,1.001,1.4025
114,34.10752,-118.18765,2.84,1.39,1.893,0.927,1.41975
115,34.1077,-118.18771,2.839,1.39,1.893,0.927,1.41975
116,34.08889,-118.1878,2.775,1.444,1.85,0.963,1.3875
117,34.1263,-118.18795,2.742,1.508,1.828,1.005,1.371
118,34.12469,-118.188,2.757,1.507,1.838,1.004,1.3785
119,34.10753,-118.18802,2.84,1.39,1.893,0.927,1.41975
120,34.09067,-118.18802,2.788,1.438,1.859,0.959,1.39425
121,34.12552,-118.18803,2.749,1.507,1.833,1.005,1.37475
122,34.10752,-118.18806,2.84,1.39,1.893,0.927,1.41975
123,34.10705,-118.18807,2.842,1.389,1.895,0.926,1.42125
124,34.12625,-118.18815,2.742,1.508,1.828,1.005,1.371
125,34.12548,-118.18819,2.75,1.507,1.833,1.005,1.37475
126,34.09066,-118.18841,2.788,1.438,1.859,0.959,1.39425
127,34.12464,-118.18868,2.757,1.507,1.838,1.005,1.3785
128,34.10996,-118.18889,2.829,1.392,1.886,0.928,1.4145
129,34.11974,-118.18928,2.8,1.503,1.866,1.002,1.3995
130,34.12444,-118.1893,2.759,1.507,1.839,1.005,1.37925
131,34.13368,-118.18936,2.682,1.515,1.788,1.01,1.341
132,34.116,-118.18962,2.811,1.5,1.874,1,1.4055
133,34.11741,-118.18986,2.806,1.501,1.871,1.001,1.40325
134,34.13823,-118.19063,2.645,1.485,1.763,0.99,1.32225
135,34.11635,-118.19073,2.809,1.501,1.872,1.001,1.404
136,34.1078,-118.19084,2.839,1.389,1.893,0.926,1.41975
137,34.11621,-118.19102,2.809,1.501,1.873,1.001,1.40475
138,34.10775,-118.19139,2.84,1.389,1.893,0.926,1.41975
139,34.10525,-118.19185,2.851,1.387,1.901,0.924,1.42575
140,34.10838,-118.19187,2.837,1.389,1.891,0.926,1.41825
141,34.10504,-118.1926,2.852,1.386,1.901,0.924,1.42575
142,34.10568,-118.19262,2.849,1.387,1.899,0.925,1.42425
143,34.11176,-118.19282,2.824,1.429,1.882,0.952,1.4115
144,34.11606,-118.19301,2.808,1.502,1.872,1.002,1.404
145,34.03668,-118.19321,2.393,1.247,1.595,0.832,1.19625
146,34.04875,-118.19324,2.479,1.292,1.652,0.861,1.239
147,34.06201,-118.19379,2.577,1.343,1.718,0.895,1.2885
148,34.13309,-118.19391,2.686,1.513,1.791,1.009,1.34325
149,34.10325,-118.19411,2.86,1.385,1.907,0.923,1.43025
150,34.1046,-118.19415,2.854,1.386,1.903,0.924,1.42725
151,34.0485,-118.19416,2.476,1.291,1.651,0.86,1.23825
152,34.11399,-118.19422,2.815,1.476,1.877,0.984,1.40775
153,34.12035,-118.19436,2.789,1.507,1.859,1.005,1.39425
154,34.11104,-118.1944,2.827,1.412,1.884,0.941,1.413
155,34.05366,-118.19449,2.514,1.31,1.676,0.873,1.257
156,34.11369,-118.19454,2.816,1.47,1.877,0.98,1.40775
157,34.14037,-118.19455,2.646,1.472,1.764,0.981,1.323
158,34.11202,-118.19463,2.823,1.433,1.882,0.955,1.4115
159,34.06632,-118.19467,2.609,1.359,1.739,0.906,1.30425
160,34.10933,-118.19489,2.834,1.388,1.889,0.926,1.41675
161,34.11236,-118.1949,2.821,1.44,1.881,0.96,1.41075
162,34.06132,-118.19491,2.571,1.34,1.714,0.893,1.2855
163,34.1199,-118.19502,2.791,1.507,1.861,1.005,1.39575
164,34.11182,-118.19503,2.823,1.428,1.882,0.952,1.4115
165,34.11417,-118.19506,2.814,1.48,1.876,0.986,1.407
166,34.14001,-118.19507,2.633,1.459,1.755,0.973,1.31625
167,34.10649,-118.19513,2.846,1.387,1.898,0.924,1.4235
168,34.10535,-118.19545,2.851,1.386,1.901,0.924,1.42575
169,34.11268,-118.19551,2.82,1.447,1.88,0.964,1.41
170,34.11252,-118.19557,2.821,1.443,1.88,0.962,1.41
171,34.12097,-118.19573,2.782,1.509,1.854,1.006,1.3905
172,34.04919,-118.19575,2.479,1.292,1.653,0.862,1.23975
173,34.1098,-118.19613,2.832,1.388,1.888,0.925,1.416
174,34.10645,-118.19616,2.847,1.386,1.898,0.924,1.4235
175,34.05872,-118.19655,2.55,1.329,1.7,0.886,1.275
176,34.10705,-118.19657,2.844,1.387,1.896,0.924,1.422
177,34.05862,-118.19668,2.55,1.329,1.7,0.886,1.275
178,34.10362,-118.19672,2.859,1.385,1.906,0.924,1.4295
179,34.05893,-118.19705,2.552,1.33,1.701,0.887,1.27575
180,34.1124,-118.19718,2.821,1.439,1.881,0.96,1.41075
181,34.11182,-118.19732,2.823,1.427,1.882,0.951,1.4115
182,34.10545,-118.19741,2.852,1.386,1.901,0.924,1.42575
183,34.04255,-118.19742,2.43,1.267,1.62,0.845,1.215
184,34.05956,-118.19744,2.556,1.332,1.704,0.888,1.278
185,34.12039,-118.1977,2.784,1.51,1.856,1.006,1.392
186,34.10935,-118.1978,2.835,1.387,1.89,0.924,1.4175
187,34.10623,-118.19793,2.848,1.386,1.899,0.924,1.42425
188,34.0229,-118.19811,2.286,1.192,1.524,0.795,1.143
189,34.10931,-118.1983,2.835,1.386,1.89,0.924,1.4175
190,34.10952,-118.19844,2.834,1.386,1.889,0.924,1.41675
191,34.10542,-118.19845,2.852,1.386,1.901,0.924,1.42575
192,34.10708,-118.19846,2.845,1.386,1.896,0.924,1.422
193,34.05284,-118.19848,2.504,1.305,1.67,0.87,1.2525
194,34.04688,-118.19853,2.46,1.283,1.64,0.855,1.23
195,34.13977,-118.19882,2.636,1.447,1.757,0.965,1.31775
196,34.02407,-118.19936,2.293,1.196,1.529,0.797,1.14675
197,34.07074,-118.19959,2.641,1.376,1.761,0.918,1.32075
198,34.03863,-118.19992,2.399,1.251,1.599,0.834,1.19925
199,34.10402,-118.20022,2.858,1.385,1.906,0.924,1.4295
200,34.0518,-118.20035,2.494,1.301,1.663,0.867,1.24725
201,34.06963,-118.20043,2.632,1.372,1.755,0.915,1.31625
202,34.03179,-118.20051,2.348,1.225,1.566,0.817,1.1745
203,34.03937,-118.20055,2.403,1.254,1.602,0.836,1.2015
204,34.10329,-118.20058,2.862,1.385,1.908,0.924,1.431
205,34.05045,-118.20071,2.483,1.295,1.656,0.863,1.242
206,34.04998,-118.20081,2.48,1.293,1.653,0.862,1.23975
207,34.10663,-118.20106,2.847,1.385,1.898,0.923,1.4235
208,34.04553,-118.20107,2.447,1.276,1.632,0.851,1.224
209,34.10711,-118.20121,2.845,1.385,1.897,0.923,1.42275
210,34.05005,-118.20122,2.48,1.293,1.653,0.862,1.23975
211,34.04289,-118.20126,2.428,1.266,1.619,0.844,1.21425
212,34.10979,-118.20152,2.834,1.384,1.889,0.923,1.41675
213,34.1217,-118.20182,2.771,1.513,1.847,1.009,1.38525
214,34.07666,-118.20204,2.685,1.4,1.79,0.933,1.3425
215,34.04797,-118.20208,2.463,1.285,1.642,0.857,1.2315
216,34.07263,-118.20216,2.654,1.384,1.769,0.923,1.32675
217,34.10363,-118.20219,2.861,1.385,1.907,0.924,1.43025
218,34.02511,-118.20235,2.296,1.198,1.531,0.799,1.14825
219,34.07271,-118.2025,2.654,1.384,1.769,0.923,1.32675
220,34.03694,-118.2028,2.382,1.243,1.588,0.829,1.191
221,34.10233,-118.20298,2.867,1.386,1.911,0.924,1.43325
222,34.04198,-118.20298,2.419,1.262,1.612,0.841,1.209
223,34.10927,-118.20299,2.836,1.384,1.891,0.922,1.41825
224,34.10941,-118.20306,2.836,1.384,1.891,0.922,1.41825
225,34.06938,-118.20317,2.628,1.371,1.752,0.914,1.314
226,34.05182,-118.20321,2.49,1.299,1.66,0.866,1.245
227,34.07036,-118.20366,2.635,1.375,1.757,0.916,1.31775
228,34.1093,-118.20395,2.837,1.383,1.891,0.922,1.41825
229,34.10822,-118.20396,2.841,1.384,1.894,0.922,1.4205
230,34.03518,-118.20403,2.367,1.236,1.578,0.824,1.1835
231,34.04935,-118.20404,2.47,1.289,1.647,0.859,1.23525
232,34.1005,-118.20408,2.868,1.387,1.912,0.924,1.434
233,34.07334,-118.20409,2.658,1.387,1.772,0.925,1.329
234,34.07033,-118.20411,2.634,1.375,1.756,0.916,1.317
235,34.10844,-118.20412,2.84,1.383,1.894,0.922,1.4205
236,34.05671,-118.2043,2.527,1.319,1.685,0.879,1.26375
237,34.04788,-118.20436,2.459,1.283,1.639,0.855,1.22925
238,34.09156,-118.20438,2.801,1.438,1.867,0.959,1.40025
239,34.10884,-118.20442,2.839,1.383,1.892,0.922,1.419
240,34.10012,-118.20445,2.867,1.387,1.912,0.925,1.434
241,34.10899,-118.20457,2.838,1.383,1.892,0.922,1.419
242,34.05805,-118.20466,2.537,1.324,1.691,0.883,1.26825
243,34.04854,-118.20474,2.463,1.285,1.642,0.857,1.2315
244,34.03641,-118.2053,2.374,1.24,1.583,0.826,1.18725
245,34.03053,-118.20555,2.331,1.217,1.554,0.811,1.1655
246,34.03922,-118.2057,2.394,1.25,1.596,0.833,1.197
247,34.04786,-118.20573,2.457,1.282,1.638,0.855,1.2285
248,34.03251,-118.20586,2.345,1.224,1.563,0.816,1.17225
249,34.04369,-118.20588,2.426,1.267,1.618,0.844,1.2135
250,34.04331,-118.20596,2.423,1.265,1.616,0.843,1.212
251,34.05032,-118.20598,2.474,1.291,1.649,0.861,1.23675
252,34.04375,-118.20601,2.427,1.267,1.618,0.845,1.2135
253,34.04337,-118.20609,2.424,1.265,1.616,0.844,1.212
254,34.13846,-118.20617,2.668,1.454,1.779,0.969,1.33425
255,34.09723,-118.20624,2.846,1.404,1.897,0.936,1.42275
256,34.04348,-118.20635,2.424,1.266,1.616,0.844,1.212
257,34.04299,-118.2065,2.42,1.264,1.613,0.842,1.20975
258,34.044,-118.20658,2.427,1.267,1.618,0.845,1.2135
259,34.04533,-118.20667,2.437,1.272,1.625,0.848,1.21875
260,34.04455,-118.20672,2.431,1.269,1.621,0.846,1.21575
261,34.04368,-118.20679,2.425,1.266,1.617,0.844,1.21275
262,34.04126,-118.2068,2.407,1.257,1.605,0.838,1.20375
263,34.04461,-118.20689,2.431,1.27,1.621,0.846,1.21575
264,34.11856,-118.2072,2.788,1.513,1.859,1.009,1.39425
265,34.04173,-118.2072,2.41,1.259,1.607,0.839,1.20525
266,34.09174,-118.20721,2.802,1.438,1.868,0.959,1.401
267,34.13552,-118.20722,2.69,1.484,1.793,0.989,1.34475
268,34.07556,-118.20739,2.673,1.396,1.782,0.931,1.3365
269,34.04435,-118.20739,2.429,1.268,1.619,0.846,1.21425
270,34.04397,-118.20745,2.426,1.267,1.617,0.845,1.21275
271,34.13767,-118.20748,2.678,1.462,1.785,0.974,1.33875
272,34.04466,-118.2079,2.43,1.269,1.62,0.846,1.215
273,34.05113,-118.20795,2.478,1.294,1.652,0.862,1.239
274,34.04563,-118.20806,2.437,1.273,1.625,0.848,1.21875
275,34.11248,-118.20826,2.821,1.433,1.881,0.956,1.41075
276,34.04169,-118.20835,2.408,1.258,1.605,0.838,1.20375
277,34.13414,-118.20837,2.702,1.498,1.801,0.999,1.35075
278,34.09177,-118.20845,2.802,1.438,1.868,0.959,1.401
279,34.04495,-118.20867,2.431,1.27,1.621,0.847,1.21575
280,34.04274,-118.20871,2.415,1.261,1.61,0.841,1.2075
281,34.07524,-118.2088,2.67,1.395,1.78,0.93,1.335
282,34.04577,-118.20886,2.437,1.273,1.624,0.848,1.218
283,34.07469,-118.20942,2.665,1.393,1.776,0.929,1.332
284,34.07607,-118.20947,2.676,1.399,1.784,0.932,1.338
285,34.09626,-118.20962,2.838,1.411,1.892,0.941,1.419
286,34.0432,-118.20966,2.417,1.263,1.611,0.842,1.20825
287,34.04042,-118.20967,2.396,1.252,1.598,0.835,1.1985
288,34.0669,-118.20986,2.602,1.36,1.734,0.907,1.3005
289,34.04283,-118.20989,2.414,1.261,1.609,0.841,1.20675
290,34.08604,-118.21017,2.756,1.441,1.837,0.961,1.37775
291,34.1347,-118.21063,2.705,1.492,1.803,0.995,1.35225
292,34.06625,-118.21068,2.596,1.357,1.73,0.905,1.2975
293,34.13777,-118.21078,2.689,1.46,1.792,0.973,1.344
294,34.04141,-118.21084,2.402,1.255,1.601,0.837,1.20075
295,34.02451,-118.21084,2.277,1.191,1.518,0.794,1.1385
296,34.05652,-118.21144,2.516,1.315,1.677,0.877,1.25775
297,34.13411,-118.21152,2.712,1.499,1.808,0.999,1.356
298,34.07371,-118.2117,2.655,1.389,1.77,0.926,1.3275
299,34.0737,-118.21173,2.655,1.389,1.77,0.926,1.3275
300,34.0737,-118.21173,2.655,1.389,1.77,0.926,1.3275
301,34.0737,-118.21173,2.655,1.389,1.77,0.926,1.3275
302,34.07479,-118.21177,2.664,1.393,1.776,0.929,1.332
303,34.077,-118.21182,2.682,1.403,1.788,0.935,1.341
304,34.05396,-118.21195,2.494,1.304,1.663,0.869,1.24725
305,34.08286,-118.21218,2.729,1.428,1.819,0.952,1.36425
306,34.09187,-118.21221,2.802,1.439,1.868,0.96,1.401
307,34.0817,-118.21223,2.72,1.423,1.813,0.949,1.35975
308,34.07777,-118.21278,2.687,1.406,1.792,0.938,1.344
309,34.07859,-118.2128,2.694,1.41,1.796,0.94,1.347
310,34.07908,-118.21281,2.698,1.412,1.799,0.941,1.34925
311,34.07971,-118.21282,2.703,1.415,1.802,0.943,1.3515
312,34.12178,-118.21293,2.78,1.519,1.854,1.013,1.3905
313,34.03772,-118.21318,2.371,1.24,1.581,0.827,1.18575
314,34.07713,-118.21325,2.682,1.404,1.788,0.936,1.341
315,34.0745,-118.21347,2.66,1.392,1.774,0.928,1.3305
316,34.04776,-118.21352,2.444,1.277,1.629,0.852,1.22175
317,34.08235,-118.21354,2.724,1.426,1.816,0.951,1.362
318,34.03943,-118.21372,2.383,1.246,1.588,0.831,1.191
319,34.04576,-118.21381,2.429,1.27,1.619,0.846,1.21425
320,34.07092,-118.21393,2.631,1.377,1.754,0.918,1.3155
321,34.1218,-118.21437,2.785,1.52,1.857,1.013,1.39275
322,34.06722,-118.21442,2.6,1.361,1.733,0.907,1.29975
323,34.12351,-118.21455,2.778,1.522,1.852,1.014,1.389
324,34.13776,-118.21456,2.704,1.462,1.803,0.974,1.35225
325,34.13776,-118.21456,2.704,1.462,1.803,0.974,1.35225
326,34.06659,-118.21458,2.595,1.358,1.73,0.905,1.2975
327,34.081,-118.21465,2.713,1.421,1.809,0.947,1.35675
328,34.03773,-118.21475,2.369,1.239,1.579,0.826,1.18425
329,34.04377,-118.21476,2.413,1.262,1.608,0.841,1.206
330,34.03764,-118.21484,2.368,1.239,1.579,0.826,1.18425
331,34.04394,-118.21489,2.414,1.262,1.609,0.842,1.20675
332,34.03753,-118.2149,2.367,1.238,1.578,0.825,1.1835
333,34.05094,-118.21517,2.465,1.289,1.643,0.859,1.23225
334,34.05101,-118.21531,2.465,1.289,1.644,0.859,1.233
335,34.07971,-118.21533,2.702,1.415,1.801,0.943,1.35075
336,34.06425,-118.21545,2.574,1.347,1.716,0.898,1.287
337,34.05205,-118.21572,2.473,1.293,1.649,0.862,1.23675
338,34.05188,-118.21607,2.471,1.292,1.648,0.862,1.236
339,34.04677,-118.21609,2.432,1.272,1.622,0.848,1.2165
340,34.05385,-118.2163,2.487,1.301,1.658,0.867,1.2435
341,34.04039,-118.21632,2.386,1.248,1.59,0.832,1.1925
342,34.13166,-118.21638,2.744,1.527,1.829,1.018,1.37175
343,34.13166,-118.21638,2.744,1.527,1.829,1.018,1.37175
344,34.13458,-118.21642,2.728,1.496,1.819,0.997,1.36425
345,34.07757,-118.21686,2.683,1.406,1.789,0.937,1.34175
346,34.0704,-118.21694,2.624,1.374,1.749,0.916,1.31175
347,34.12805,-118.21701,2.764,1.526,1.843,1.018,1.38225
348,34.07043,-118.21713,2.624,1.375,1.749,0.916,1.31175
349,34.12953,-118.2173,2.759,1.528,1.839,1.019,1.37925
350,34.13432,-118.21735,2.734,1.499,1.822,0.999,1.3665
351,34.04348,-118.21754,2.406,1.259,1.604,0.839,1.203
352,34.0721,-118.21775,2.637,1.382,1.758,0.921,1.3185
353,34.1288,-118.21785,2.764,1.527,1.843,1.018,1.38225
354,34.04371,-118.21814,2.407,1.26,1.605,0.84,1.20375
355,34.04681,-118.21825,2.429,1.271,1.619,0.847,1.21425
356,34.12804,-118.21827,2.769,1.527,1.846,1.018,1.3845
357,34.12921,-118.21836,2.764,1.528,1.843,1.019,1.38225
358,34.12961,-118.21858,2.763,1.528,1.842,1.019,1.3815
359,34.04465,-118.21879,2.413,1.263,1.608,0.842,1.206
360,34.12404,-118.21889,2.79,1.524,1.86,1.016,1.395
361,34.08862,-118.21909,2.774,1.456,1.85,0.97,1.3875
362,34.0369,-118.21922,2.355,1.233,1.57,0.822,1.1775
363,34.03658,-118.21924,2.353,1.232,1.569,0.821,1.17675
364,34.05456,-118.21934,2.489,1.303,1.659,0.869,1.24425
365,34.04519,-118.21939,2.416,1.264,1.61,0.843,1.2075
366,34.06984,-118.21941,2.617,1.372,1.745,0.915,1.30875
367,34.04566,-118.21945,2.419,1.266,1.613,0.844,1.20975
368,34.0466,-118.21958,2.426,1.269,1.617,0.846,1.21275
369,34.13662,-118.21997,2.732,1.476,1.821,0.984,1.36575
370,34.07068,-118.22013,2.623,1.376,1.749,0.917,1.31175
371,34.04832,-118.22019,2.437,1.275,1.625,0.85,1.21875
372,34.04282,-118.22019,2.397,1.255,1.598,0.837,1.1985
373,34.04221,-118.22025,2.392,1.253,1.595,0.835,1.19625
374,34.12776,-118.22026,2.778,1.528,1.852,1.019,1.389
375,34.04767,-118.22034,2.432,1.273,1.621,0.849,1.21575
376,34.05216,-118.22066,2.467,1.291,1.644,0.861,1.233
377,34.04807,-118.22091,2.434,1.274,1.623,0.849,1.21725
378,34.08459,-118.22101,2.74,1.438,1.827,0.959,1.37025
379,34.04934,-118.22119,2.443,1.279,1.629,0.852,1.22175
380,34.05302,-118.22128,2.473,1.295,1.649,0.863,1.23675
381,34.12509,-118.22201,2.798,1.527,1.865,1.018,1.39875
382,34.04468,-118.22204,2.408,1.261,1.605,0.841,1.20375
383,34.04483,-118.22218,2.408,1.261,1.606,0.841,1.2045
384,34.04675,-118.2232,2.421,1.268,1.614,0.845,1.2105
385,34.08656,-118.2244,2.756,1.448,1.837,0.966,1.37775
386,34.1228,-118.22444,2.82,1.526,1.88,1.017,1.41
387,34.09285,-118.22455,2.809,1.449,1.873,0.966,1.40475
388,34.14337,-118.22578,2.742,1.49,1.828,0.993,1.371
389,34.09337,-118.22594,2.814,1.45,1.876,0.966,1.407
390,34.12184,-118.22651,2.835,1.527,1.89,1.018,1.4175
391,34.10442,-118.22653,2.88,1.402,1.92,0.935,1.44
392,34.12135,-118.22715,2.841,1.527,1.894,1.018,1.4205
393,34.10397,-118.22769,2.879,1.407,1.92,0.938,1.44
394,34.07154,-118.22969,2.623,1.379,1.749,0.92,1.31175
395,34.09692,-118.22987,2.845,1.444,1.896,0.963,1.422
396,34.07194,-118.23019,2.626,1.381,1.751,0.921,1.31325
397,34.12287,-118.23057,2.846,1.529,1.898,1.02,1.4235
398,34.10728,-118.2306,2.884,1.4,1.923,0.933,1.44225
399,34.07198,-118.23092,2.626,1.382,1.751,0.921,1.31325
400,34.07236,-118.23103,2.629,1.383,1.753,0.922,1.31475
401,34.07245,-118.23111,2.63,1.384,1.753,0.923,1.31475
402,34.10627,-118.23126,2.885,1.406,1.924,0.938,1.443
403,34.10698,-118.23187,2.887,1.405,1.925,0.937,1.44375
404,34.07457,-118.23197,2.648,1.394,1.765,0.929,1.32375
405,34.12544,-118.23215,2.834,1.532,1.89,1.021,1.4175
406,34.12675,-118.23234,2.827,1.53,1.885,1.02,1.41375
407,34.13218,-118.2328,2.799,1.475,1.866,0.983,1.3995
408,34.13246,-118.23285,2.798,1.473,1.865,0.982,1.39875
409,34.12926,-118.23288,2.814,1.499,1.876,1,1.407
410,33.94296,-118.23288,1.786,0.962,1.19,0.641,0.8925
411,34.12968,-118.23294,2.812,1.494,1.874,0.996,1.4055
412,34.12982,-118.23297,2.811,1.493,1.874,0.995,1.4055
